colname,durablename,static,pats,units_cd,mxinsts,nval_num,patvis_null,confidence_num,mxconmod,patvis,pats_null,colid,mod,quantity_num,ccd,name,cid,concept_path,rule,ddomain,mxfacts,valueflag_cd,tval_char,colcd,location_cd,valtype_cd
patient_num,,---,,,,,,,,,,,,,,,,,,,,,,,,
start_date,,2020-09-28,,,,,,,,,,,,,,,,,,,,,,,,
birth_date,,2020-09-28,,,,,,,,,,,,,,,,,,,,,,,,
sex_cd,,---,,,,,,,,,,,,,,,,,,,,,,,,
language_cd,,---,,,,,,,,,,,,,,,,,,,,,,,,
race_cd,,---,,,,,,,,,,,,,,,,,,,,,,,,
age_at_visit_days,,0,,,,,,,,,,,,,,,,,,,,,,,,
age_at_death_days,,0,,,,,,,,,,,,,,,,,,,,,,,,
v000_Mlgnt_ptnts_tf,_Mlgnt_ptnts_tf,,1129,1,1,,307839,,2,7966,1853,v000_Mlgnt_ptnts,2,,1,"189.0 - Malignant neoplasm of kidney, except pelvis[9,507 facts; 1,133 patients]",0,\i2b2\Epic Diagnosis\ICD9\A8359006\A8352677\A8360424\A8343378\A8340851\,UNKNOWN_DATA_ELEMENT,DX,2,,,v000,,
v000_Mlgnt_ptnts_cd,_Mlgnt_ptnts_cd,,1129,1,1,,307839,,2,7966,1853,v000_Mlgnt_ptnts,2,,1,"189.0 - Malignant neoplasm of kidney, except pelvis[9,507 facts; 1,133 patients]",0,\i2b2\Epic Diagnosis\ICD9\A8359006\A8352677\A8360424\A8343378\A8340851\,UNKNOWN_DATA_ELEMENT,DX,2,,,v000,,
v000_Mlgnt_ptnts,_Mlgnt_ptnts,,1129,1,1,,307839,,2,7966,1853,v000_Mlgnt_ptnts,2,,1,"189.0 - Malignant neoplasm of kidney, except pelvis[9,507 facts; 1,133 patients]",0,\i2b2\Epic Diagnosis\ICD9\A8359006\A8352677\A8360424\A8343378\A8340851\,UNKNOWN_DATA_ELEMENT,DX,2,,,v000,,
v001_Mlgnt_ptnts_tf,_Mlgnt_ptnts_tf,,2494,1,3,,287510,,6,28295,488,v001_Mlgnt_ptnts,5,,3,"C64 - Malignant neoplasm of kidney, except renal pelvis[32,198 facts; 2,387 patients]",1,\i2b2\Diagnosis\ICD10\A18924118\A20151411\A17863058\,UNKNOWN_DATA_ELEMENT,ICD10,6,,,v001,,
v001_Mlgnt_ptnts_dx,_Mlgnt_ptnts_dx,,2494,1,3,,287510,,6,28295,488,v001_Mlgnt_ptnts,5,,3,"C64 - Malignant neoplasm of kidney, except renal pelvis[32,198 facts; 2,387 patients]",1,\i2b2\Diagnosis\ICD10\A18924118\A20151411\A17863058\,UNKNOWN_DATA_ELEMENT,ICD10,6,,,v001,,
v001_Mlgnt_ptnts,_Mlgnt_ptnts,,2494,1,3,,287510,,6,28295,488,v001_Mlgnt_ptnts,5,,3,"C64 - Malignant neoplasm of kidney, except renal pelvis[32,198 facts; 2,387 patients]",1,\i2b2\Diagnosis\ICD10\A18924118\A20151411\A17863058\,UNKNOWN_DATA_ELEMENT,ICD10,6,,,v001,,
v002_Plvs_ptnts_cd,_Plvs_ptnts_cd,,865,1,1,,314921,,1,884,2117,v002_Plvs_ptnts,,,1,Kidney and Renal Pelvis[863 facts; 836 patients],2,\i2b2\Abridged\SEER Site\Urinary System\Kidney and Renal Pel\,UNKNOWN_DATA_ELEMENT,SEER_SITE,1,,,v002,,
v002_Plvs_ptnts,_Plvs_ptnts,,865,1,1,,314921,,1,884,2117,v002_Plvs_ptnts,,,1,Kidney and Renal Pelvis[863 facts; 836 patients],2,\i2b2\Abridged\SEER Site\Urinary System\Kidney and Renal Pel\,UNKNOWN_DATA_ELEMENT,SEER_SITE,1,,,v002,,
v003_fcts_ptnts_cd,_fcts_ptnts_cd,,842,1,1,,314944,,1,861,2140,v003_fcts_ptnts,,,1,C649[840 facts; 814 patients],3,\i2b2\naaccr\S:1 Cancer Identification\0400 Primary Site\C649\,UNKNOWN_DATA_ELEMENT,NAACCR,1,,,v003,,
v003_fcts_ptnts,_fcts_ptnts,,842,1,1,,314944,,1,861,2140,v003_fcts_ptnts,,,1,C649[840 facts; 814 patients],3,\i2b2\naaccr\S:1 Cancer Identification\0400 Primary Site\C649\,UNKNOWN_DATA_ELEMENT,NAACCR,1,,,v003,,
v004_Mlgnt_ptnts_tf,_Mlgnt_ptnts_tf,,967,1,3,,311432,,3,4373,2015,v004_Mlgnt_ptnts,5,,1,"189.0 - Malignant neoplasm of kidney, except pelvis[4,505 facts; 967 patients]",4,\i2b2\Diagnosis\ICD9\A8359006\A8352677\A8360424\A8343378\A8340851\,UNKNOWN_DATA_ELEMENT,ICD9,4,,,v004,,
v004_Mlgnt_ptnts,_Mlgnt_ptnts,,967,1,3,,311432,,3,4373,2015,v004_Mlgnt_ptnts,5,,1,"189.0 - Malignant neoplasm of kidney, except pelvis[4,505 facts; 967 patients]",4,\i2b2\Diagnosis\ICD9\A8359006\A8352677\A8360424\A8343378\A8340851\,UNKNOWN_DATA_ELEMENT,ICD9,4,,,v004,,
