Category/Type	icd10	Description	icd10_ccode	shortname
Hospital-acquired infection	A020	Salmonella enteritis	ICD10:A02.0	hospinfect
Hospital-acquired infection	A021	Salmonella septicaemia	ICD10:A02.1	hospinfect
Hospital-acquired infection	A044	Other intestinal Escherichia coli infections	ICD10:A04.4	hospinfect
Hospital-acquired infection	A045	Campylobacter enteritis	ICD10:A04.5	hospinfect
Hospital-acquired infection	A047	Enterocolitis due to Clostridium difficile; includes: Foodborne intoxication by Clostridium difficile, Pseudomembranous colitis	ICD10:A04.7	hospinfect
Hospital-acquired infection	A048	Other specified bacterial intestinal infections	ICD10:A04.8	hospinfect
Hospital-acquired infection	A049	Bacterial intestinal infection, unspecified	ICD10:A04.9	hospinfect
Hospital-acquired infection	A080	Rotaviral enteritis	ICD10:A08.0	hospinfect
Hospital-acquired infection	A081	Acute gastroenteropathy due to Norwalk agent; includes: Small round structured virus enteritis	ICD10:A08.1	hospinfect
Hospital-acquired infection	A410	Sepsis due to Staphylococcus aureus	ICD10:A41.0	hospinfect
Hospital-acquired infection	A411	Sepsis due to other specified staphylococcus; includes: Sepsis due to coagulase-negative staphylococcus	ICD10:A41.1	hospinfect
Hospital-acquired infection	A412	Sepsis due to unspecified staphylococcus	ICD10:A41.2	hospinfect
Hospital-acquired infection	A414	Septicaemia due to anaerobes	ICD10:A41.4	hospinfect
Hospital-acquired infection	A4150	Sepsis due to Escherichia coli [E.coli]	ICD10:A41.50	hospinfect
Hospital-acquired infection	A4151	Sepsis due to Pseudomonas; includes: Pseudomonas aeroginosa	ICD10:A41.51	hospinfect
Hospital-acquired infection	A4152	Sepsis due to Serratia	ICD10:A41.52	hospinfect
Hospital-acquired infection	A4158	Sepsis due to other gram-negative organisms; includes: Gram-negative sepsis NOS	ICD10:A41.58	hospinfect
Hospital-acquired infection	A4180	Sepsis due to enterococcus; excludes: due to Streptococcus D (A40.2)	ICD10:A41.80	hospinfect
Hospital-acquired infection	A4188	Other specified septicaemia	ICD10:A41.88	hospinfect
Hospital-acquired infection	A419	Septicaemia unspecified	ICD10:A41.9	hospinfect
Hospital-acquired infection	A490	Staphylococcal infection, unspecified site	ICD10:A49.0	hospinfect
Hospital-acquired infection	B309	Viral conjunctivitis unspecified	ICD10:B30.9	hospinfect
Hospital-acquired infection	B373	Candidiasis of vulva and vagina	ICD10:B37.3	hospinfect
Hospital-acquired infection	B374	Candidiasis of other urogenital sites	ICD10:B37.4	hospinfect
Hospital-acquired infection	B377	Candidal septicaemia	ICD10:B37.7	hospinfect
Hospital-acquired infection	B3780	Candidal esophagitis	ICD10:B37.80	hospinfect
Hospital-acquired infection	B3781	Candidal enteritis	ICD10:B37.81	hospinfect
Hospital-acquired infection	B956	Staphylococcus aureus as the cause of diseases classified to other chapters	ICD10:B95.6	hospinfect
